num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S002800;44957;0,816666667;CALL. SEPULVEDA / CONCEJ;216;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435965.276;4472484.301;N;NULL
2023S002851;44958;0,616666667;CALL. SANTA ENGRACIA, 17;17;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440904.038;4475743.889;N;NULL
2023S003248;44960;0,659722222;AVDA. SAN LUIS / CALL. BURGO DE OSMA;55;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;443816.428;4480383.135;N;NULL
2023S003385;44961;0,741666667;CALL. BRAVO MURILLO / CALL. AMALIA;332;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441073.219;4479540.995;N;NULL
2023S003499;44962;0,493055556;CALL. PEÑARANDA DE BRACAMONTE, 4;4;18;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448712.540;4469575.936;N;NULL
2023S003548;44963;0,357638889;AVDA. CONCHA ESPINA / CALL. RODRIGUEZ MARIN;31;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;Ingreso inferior o igual a 24 horas;442438.486;4478105.137;N;NULL
2023S003577;44963;0,604166667;CALL. LOPEZ DE HOYOS, 299;299;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;443997.885;4478772.787;N;NULL
2023S003695;44964;0,309027778;CALL. TAMPICO / LOPEZ DE ARANDA;40;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;446165.727;4477223.534;N;NULL
2023S003762;44964;0,715277778;AVENIDA DE LOS ROSALES CON M-301;0;17;VILLAVERDE;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 50 a 54 años;Hombre;2;Ingreso inferior o igual a 24 horas;443535.479;4465120.784;N;NULL
2023S003784;44964;0,802083333;CALL. GARCIA DE PAREDES / CALL. BRAVO MURILLO;1;7;CHAMBERÍ;Alcance;Lluvia débil;Bicicleta;Conductor;De 60 a 64 años;Hombre;NULL;NULL;440290.405;4476517.306;N;NULL
2023S003811;44964;0,881944444;CALL. GENOVA, 12;12;1;CENTRO;Alcance;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;441095.885;4475376.560;N;NULL
2023S004040;44966;0,395833333;CALL. RAFAEL CALVO, 9;9;7;CHAMBERÍ;Colisión frontal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;NULL;NULL;441010.148;4476142.303;N;NULL
2023S004160;44966;0,878472222;GTA. RUIZ JIMENEZ, 5;5;7;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;440163.861;4475682.488;N;NULL
2023S004198;44967;0,583333333;PASEO. CASTELLANA / CALL. JOAQUIN COSTA;110;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;NULL;NULL;441460.543;4477498.034;N;NULL
2023S004277;44967;0,940972222;CALL. ALCALA / MARQUES DE CUBAS;44;1;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440966.148;4474468.544;N;NULL
2023S004469;44968;0,579861111;CALL. SAN BERNARDO, 49;49;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439988.081;4475162.213;N;NULL
2023S004504;44968;0,666666667;CALLE OBOLO;25;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;NULL;NULL;437029.648;4469208.681;N;NULL
2023S004669;44969;0,3125;CALL. ALCALA / CALL. GOYA;151;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442678.080;4475129.782;N;NULL
2023S004793;44969;0,645833333;CALL. PRINCIPE DE VERGARA / DON RAMON;41;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;442326.755;4475589.210;N;NULL
2023S004871;44970;0,611111111;CALL. ALCALA / CALL. BARQUILLO;49;1;CENTRO;Colisión lateral;NULL;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;440984.649;4474496.237;N;NULL
2023S004875;44970;0,822916667;AVDA. NICETO ALCALA ZAMORA / CTRA. ESTACION DE HORTALEZA;3;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;444944.625;4481404.746;N;NULL
2023S004882;44970;0,85625;CALL. FRANCOS RODRIGUEZ, 104;104;9;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;439419.583;4478871.205;N;NULL
2023S005057;44972;0,614583333;CALL. MESENA / CALL. ALMARZA;98;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;443764.682;4479805.280;N;NULL
2023S005111;44972;0,100694444;CALL. TOLOSA, 18;18;12;USERA;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;439302.595;4469441.725;N;NULL
2023S005163;44973;0,423611111;CALL. JESUS GOLDERO / RICAR;21;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;NULL;441165.303;4470818.959;N;NULL
2023S005258;44973;0,722222222;CALL. CEA BERMUDEZ / GUZMAN EL BU;50;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;439524.716;4476742.982;N;NULL
2023S005280;44973;0,909722222;PASEO. LA HABANA / HERRE;73;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;3;Ingreso superior a 24 horas;442187.175;4478560.356;N;NULL
2023S005357;44974;0,6875;CALL. JACOBINIA, 24;24;11;CARABANCHEL;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;436304.604;4469839.367;N;NULL
2023S005466;44974;0,836805556;AVDA. REINA VICTORIA, 36;36;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439722.118;4477599.830;N;NULL
2023S005485;44974;0,947916667;CALL. PINTOR ANTONIO SAURA, 2A;2A;16;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;444588.219;4481766.148;N;NULL
2023S005485;44974;0,947916667;CALL. PINTOR ANTONIO SAURA, 2A;2A;16;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Peatón;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;444588.219;4481766.148;N;NULL
2023S005629;44975;0,038194444;CALL. PEZ, 40;40;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;440016.675;4475092.031;N;NULL
2023S005777;44976;0,493055556;CALL. ARROYO DEL MONTE, 2;2;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;438094.692;4482051.385;N;NULL
2023S005838;44977;0,40625;CALL. SOR ANGELA DE LA CRUZ - TUNEL 07S T-SAC 340;37;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;440968.040;4479037.772;N;NULL
2023S005839;44977;0,402777778;AVDA. PORTUGAL / PROVINCIAS;157;10;LATINA;Colisión frontal;NULL;Bicicleta;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;437303.887;4473652.016;N;NULL
2023S005923;44978;0,555555556;CALL. MARGARITAS, 3;3;6;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;440093.400;4478708.362;N;NULL
2023S005923;44978;0,555555556;CALL. MARGARITAS, 3;3;6;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;De 65 a 69 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440093.400;4478708.362;N;NULL
2023S005985;44979;0,378472222;PASEO. GINEBRA / CALL. SUECIA;15;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448735.132;4475069.290;N;NULL
2023S006101;44980;0,368055556;CALL. CROMO, 5;5;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441552.317;4471313.212;N;NULL
2023S006102;44979;0,567361111;AVDA. PARTENON / LUXEMBURGO;8;21;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;447732.423;4479388.329;N;NULL
2023S006132;44980;0,75;CMNO. PERALES, 102;102;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441482.937;4469577.018;N;NULL
2023S006235;44980;0,885416667;CALL. PRINCESA, 98;98;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;439008.374;4476264.295;N;NULL
2023S006277;44982;0,034722222;CALL. MARQUES DE VIANA / CALL. CACTUS;12;6;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440654.517;4479206.273;N;NULL
2023S006664;44983;0,690972222;PASEO. GENERAL MARTINEZ CAMPOS, 21;21;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441006.684;4476280.726;N;NULL
2023S006670;44983;0,669444444;PASEO. INFANTA ISABEL, 1;1;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441357.022;4473347.547;N;NULL
2023S006740;44984;0,861111111;PASEO. FERNAN NUÑEZ, 1;1;3;RETIRO;Atropello a animal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Mujer;2;Ingreso inferior o igual a 24 horas;442176.214;4474654.986;N;NULL
2023S006740;44984;0,861111111;PASEO. FERNAN NUÑEZ, 1;1;3;RETIRO;Atropello a animal;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;442176.214;4474654.986;N;NULL
2023S006796;44985;0,555555556;CALL. MARCELO USERA, 13;13;12;USERA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;440515.942;4470971.979;N;NULL
2023S006922;44986;0,638888889;CALL. VELAZQUEZ, 52;52;4;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;441984.559;4475416.663;N;NULL
2023S007130;44986;0,923611111;CALL. BRAVO MURILLO, 125;125;6;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440335.950;4477867.582;N;NULL
2023S007134;44987;0,041666667;CALL. LEONCIO BAUTISTA, 1;1;11;CARABANCHEL;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;437868.687;4472101.045;N;NULL
2023S007355;44987;0,5625;AVDA. LUIS ARAGONES, 4 POSTERIOR E5 DE ESTADIO DEP;4;20;SAN BLAS-CANILLEJAS;Atropello a animal;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;449399.629;4476358.951;N;NULL
2023S007386;44988;0,39375;CALL. DOCTOR ESQUERDO / CALL. O'DONNELL;53;4;SALAMANCA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 60 a 64 años;Hombre;2;Ingreso inferior o igual a 24 horas;443243.196;4474711.952;N;NULL
2023S007599;44988;0,840277778;CALL. CASINO / CALL. RIBERA DE CURTIDORES;20;1;CENTRO;Caída;NULL;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;439994.009;4473067.525;N;NULL
2023S007696;44989;0,438888889;CALL. JULIAN CAMARILLO, 81;81;20;SAN BLAS-CANILLEJAS;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;447703.493;4476648.326;N;NULL
2023S007709;44989;0,675;CALL. TOLEDO, 174;174;2;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439412.075;4472596.614;N;NULL
2023S007813;44990;0,506944444;CAMINO ALTO DE HORTALEZA;6;16;HORTALEZA;Caída;Nublado;Bicicleta;Conductor;De 60 a 64 años;Hombre;2;Ingreso inferior o igual a 24 horas;446767.069;4480665.390;N;NULL
2023S007815;44990;0,522222222;CALL. THALER / VIA LUSI;12;11;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438004.472;4468852.797;N;NULL
2023S007922;44991;0,8125;CALL. VILLANUEVA / CALL. CID;9;4;SALAMANCA;Alcance;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;NULL;NULL;441760.904;4474870.880;N;NULL
2023S008165;44992;0,385416667;CARETAR DE HUMERA -- AVDA DEL TALGO;1;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;434115.543;4477681.047;N;NULL
2023S008179;44993;0,413194444;GLORIETA JAVIER BELLOSILLO;0;16;HORTALEZA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 65 a 69 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448423.389;4482441.251;N;NULL
2023S008470;44994;0,739583333;PASEO. EMBARCADERO, 2;2;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;437780.786;4474335.115;N;NULL
2023S008470;44994;0,739583333;PASEO. EMBARCADERO, 2;2;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Pasajero;De 35 a 39 años;Mujer;1;Atención en urgencias sin posterior ingreso;437780.786;4474335.115;N;NULL
2023S008493;44994;0,902777778;CALL. ANTONIO DE LEYVA / CALL. ARLANZA;77;11;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;439179.285;4471063.079;N;NULL
2023S008500;44994;0,965277778;PASEO. PRADO / PLAZA. CIBELES;1;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;441200.496;4474441.254;N;NULL
2023S008520;44995;0,379861111;CALL. ANTONIO LOPEZ / SEBASTIAN GOME;214;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440808.225;4470870.183;N;NULL
2023S008681;44995;0,972222222;AVDA. CIUDAD DE BARCELONA / CALL. ARREGUI Y ARUEJ;226;3;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;443165.292;4472208.802;N;NULL
2023S008831;44996;0,840277778;CALL. HORTALEZA / CALL. PEREZ GALDOS;44;1;CENTRO;Colisión lateral;NULL;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;NULL;440626.294;4474863.073;N;NULL
